time,depth,lat,lon,uo,vo,thetao,bottomT,so
2020-06-16,1.0182366371154783,38.52083206176758,20.54166603088379,0.22001131,-0.06823193,21.187637,15.547764,38.917664
2020-06-16,1.0182366371154783,38.52083206176758,20.58333396911621,0.23870526,-0.07510711,21.107544,15.560022,38.917294
2020-06-16,1.0182366371154783,38.52083206176758,20.625,0.2528825,-0.08082558,20.987926,15.602509,38.917366
2020-06-16,1.0182366371154783,38.52083206176758,20.66666603088379,0.27026105,-0.057842374,20.898605,15.771189,38.917698
2020-06-16,1.0182366371154783,38.5625,20.54166603088379,0.115940526,-0.093737684,20.949934,15.586694,38.91157
2020-06-16,1.0182366371154783,38.5625,20.58333396911621,0.17015569,-0.07510711,20.634878,15.744675,38.91385
2020-06-16,1.0182366371154783,38.5625,20.625,0.18861063,-0.08082558,20.41644,15.768684,38.915928
2020-06-16,1.0182366371154783,38.5625,20.66666603088379,0.18547618,-0.057842374,20.35577,15.797655,38.917274
2020-06-16,3.1657474040985107,38.52083206176758,20.54166603088379,0.2054251,-0.033948816,20.748001,15.547764,38.91533
2020-06-16,3.1657474040985107,38.52083206176758,20.58333396911621,0.22093973,-0.03736526,20.755465,15.560022,38.915516
2020-06-16,3.1657474040985107,38.52083206176758,20.625,0.23518962,-0.05072063,20.70126,15.602509,38.915695
2020-06-16,3.1657474040985107,38.52083206176758,20.66666603088379,0.25224173,-0.03325233,20.652546,15.771189,38.916348
2020-06-16,3.1657474040985107,38.5625,20.54166603088379,0.10005064,-0.055685937,20.279644,15.586694,38.90911
2020-06-16,3.1657474040985107,38.5625,20.58333396911621,0.1388073,-0.03736526,19.849463,15.744675,38.911945
2020-06-16,3.1657474040985107,38.5625,20.625,0.14720668,-0.05072063,19.642006,15.768684,38.914288
2020-06-16,3.1657474040985107,38.5625,20.66666603088379,0.14848252,-0.03325233,19.602077,15.797655,38.91565
2020-06-16,5.464963436126709,38.52083206176758,20.54166603088379,0.20220749,-0.0030048327,20.23397,15.547764,38.914677
2020-06-16,5.464963436126709,38.52083206176758,20.58333396911621,0.21024594,-0.0064217453,20.233543,15.560022,38.91443
2020-06-16,5.464963436126709,38.52083206176758,20.625,0.2198478,-0.023264738,20.21847,15.602509,38.914474
2020-06-16,5.464963436126709,38.52083206176758,20.66666603088379,0.23282279,-0.012106856,20.239805,15.771189,38.91492
2020-06-16,5.464963436126709,38.5625,20.54166603088379,0.10214882,-0.019990556,19.58061,15.586694,38.909992
2020-06-16,5.464963436126709,38.5625,20.58333396911621,0.12574926,-0.0064217453,19.23481,15.744675,38.913536
2020-06-16,5.464963436126709,38.5625,20.625,0.12322249,-0.023264738,19.05999,15.768684,38.915817
2020-06-16,5.464963436126709,38.5625,20.66666603088379,0.1225595,-0.012106856,19.02708,15.797655,38.91664
2020-06-16,7.920377254486084,38.52083206176758,20.54166603088379,0.19660676,0.012676497,19.711742,15.547764,38.915012
2020-06-16,7.920377254486084,38.52083206176758,20.58333396911621,0.19458953,0.0016760416,19.721537,15.560022,38.914654
2020-06-16,7.920377254486084,38.52083206176758,20.625,0.19820805,-0.007834314,19.737446,15.602509,38.914413
2020-06-16,7.920377254486084,38.52083206176758,20.66666603088379,0.20790173,-0.0024007412,19.756386,15.771189,38.914215
2020-06-16,7.920377254486084,38.5625,20.54166603088379,0.10690984,-0.0020408637,18.932116,15.586694,38.913338
2020-06-16,7.920377254486084,38.5625,20.58333396911621,0.118022226,0.0016760416,18.719994,15.744675,38.915894
