地区,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue
北京市,,2367.0,9005,,2367.0,2330,18402,,364608,,4492628,602546.0,,29998.0,425.0,6252.5,,,11052142
天津市,,807.0,2578,,807.0,3198,8406,,212066,,1239682,284454.0,,12124.0,45.03,2621.1,,,13557417
河北省,,638.0,3407,,638.0,1205,5647,,219191,,2700904,260405.0,,19451.0,7.27,7588.6,,,3694886
山西省,,1079.0,1189,,1079.0,320,1949,,114303,,1548848,165503.0,,9384.0,6.0,3496.0,,,1946480
内蒙古自治区,,189.0,831,,189.0,397,1457,,40711,,1115216,49782.0,,5579.0,10.41,2942.4,,,2643012
辽宁省,,896.0,5749,,896.0,1230,14695,,550115,,2700789,759634.0,,32436.0,75.28,6469.8,,,9397620
吉林省,,204.0,2145,,204.0,487,3657,,95138,,1454419,124848.0,,5074.0,10.79,2455.2,,,1563069
黑龙江省,,606.0,2809,,606.0,861,4919,,110982,,2118831,196428.0,,21775.0,12.57,4134.7,,,1949849
上海市,,1094.0,10625,,1094.0,5414,20471,,1140386,,3832691,927730.0,,21854.0,171.7,8101.6,,,28221766
江苏省,,2990.0,11330,,2990.0,7110,23532,,1457350,,5570009,1530561.0,,69654.0,89.79,14823.1,,,27638099
浙江省,,5070.0,15249,,5070.0,9849,25294,,1040418,,5001700,880654.0,,42507.0,58.15,11482.1,,,23409319
安徽省,,478.0,1607,,478.0,1078,2943,,222055,,2216291,209564.0,,10300.0,9.07,5129.1,,,4198972
福建省,,870.0,4758,,870.0,1308,7498,,310579,,2224559,360048.0,,18519.0,14.14,5712.1,,,8281089
江西省,,148.0,1169,,148.0,296,2685,,87493,,1566029,150868.0,,10335.0,9.37,3398.1,,,1763042
山东省,,2145.0,9733,,2145.0,4884,18388,,928990,,4267089,1185772.0,,43800.0,75.09,13308.1,,,23286960
河南省,,810.0,3318,,810.0,1827,6318,,243735,,2999489,274981.0,,25197.0,20.32,8411.2,,,4671530
湖北省,,1077.0,3280,,1077.0,1127,7960,,307234,,2985502,263306.0,,21065.0,46.17,5546.8,,,5087244
湖南省,,1472.0,3281,,1472.0,1719,7693,,176680,,2724014,186180.0,,15057.0,40.83,5542.6,,,4572202
广东省,,4373.0,31446,,4373.0,11728,52201,,1153829,,7087101,1631096.0,,54474.0,57.27,18658.3,,,32780523
广西壮族自治区,,196.0,1272,,196.0,755,2202,,57099,,1605769,65654.0,,4879.0,9.1,3305.1,,,2757457
海南省,,63.0,278,,63.0,43,375,,7391,,389305,11378.0,,475.0,0.19,802.7,,,670854
重庆市,,484.0,3601,,484.0,2918,5171,,172622,,1434395,154250.0,,11111.0,59.62,3059.5,,,5089043
四川省,,927.0,4430,,927.0,2448,7260,,288312,,3091287,277068.0,,22473.0,16.56,6304.0,,,5001408
贵州省,,212.0,737,,212.0,335,1486,,61168,,1142162,64875.0,,3927.0,1.35,1649.4,,,757732
云南省,,197.0,1264,,197.0,380,2132,,61497,,1750841,43881.0,,3978.0,21.56,3136.4,,,739428
西藏自治区,,,23,,,1,62,,22,,234500,10.0,,4.0,,217.9,,,559
陕西省,,344.0,2007,,344.0,529,3217,,175951,,2047443,257862.0,,15714.0,13.91,3141.6,,,2181959
甘肃省,,266.0,514,,266.0,227,910,,18367,,1031445,46215.0,,4888.0,11.96,1653.6,,,446930
青海省,,42.0,70,,42.0,73,124,,8848,,225275,20137.0,,1306.0,1.28,443.7,,,38551
宁夏回族自治区,,106.0,293,,106.0,143,399,,20384,,296237,23220.0,,2094.0,1.28,519.9,,,261582
新疆维吾尔自治区,,165.0,792,,165.0,349,1492,,9704,,1331540,36008.0,,2357.0,13.34,2170.4,,,425117
