地区,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue
北京市,13.01,42851,123496,425.87,42851.0,20655,211212,71.7,3602685,425.87,13525400,2740103.0,71.7,46929.0,4957.82,33106.0,5268,170139,41366175
天津市,8.91,23407,54680,106.68,23407.0,15051,99038,10.8,2137893,106.68,6351712,2528761.0,10.8,53280.0,685.59,13362.9,4150,153209,38556643
河北省,20.02,18762,51894,77.04,18762.0,16707,83785,15.9,3863708,77.04,17389625,3819916.0,15.9,68956.0,275.98,32494.6,2457,93052,52288698
山西省,12.2,7917,15060,59.08,7917.0,5423,27106,7.3,1354351,59.08,9134205,1312531.0,7.3,27228.0,150.76,15958.1,2383,78056,19413025
内蒙古自治区,6.28,3909,9625,26.05,3909.0,3769,16426,5.6,710278,26.05,7759014,1033594.0,5.6,15777.0,19.84,16140.8,1984,80623,10282645
辽宁省,16.84,21089,35149,75.05,21089.0,12485,65686,10.4,3062357,75.05,9759379,3006014.0,10.4,53133.0,474.49,23510.5,2866,86988,45567574
吉林省,12.01,4612,13885,41.1,4612.0,3333,27034,7.3,1078717,41.1,6866495,575015.0,7.3,11124.0,341.95,11253.8,3131,75661,13474958
黑龙江省,13.39,4708,19435,39.52,4708.0,2764,34582,9.2,532983,39.52,7612173,605680.0,9.2,13110.0,165.92,12846.5,2405,82607,5613764
上海市,9.58,47940,92460,426.37,47940.0,29258,150233,26.9,7558012,426.37,13412840,5548768.0,26.9,88016.0,1225.19,36011.8,3517,191018,97967290
江苏省,27.18,176120,306996,507.31,176120.0,165096,600306,21.8,24680855,507.31,28276374,20245195.0,21.8,455530.0,991.45,93207.6,3143,123839,284250383
浙江省,15.09,62341,284621,379.66,62341.0,100254,455590,16.6,12700402,379.66,24009012,11473921.0,16.6,394147.0,590.66,58002.8,2370,142811,233081591
安徽省,16.39,56296,79747,294.81,56296.0,56596,207428,9.3,5711342,294.81,15011779,4973027.0,9.3,106744.0,321.31,34010.9,2245,93035,95323850
福建省,12.52,29543,102622,115.25,29543.0,31529,166610,7.7,4966148,115.25,12547951,5249417.0,7.7,120723.0,84.52,38687.8,2355,103976,53008984
江西省,14.18,11878,52819,147.09,11878.0,26303,86001,6.1,3673303,147.09,13152969,2677714.0,6.1,67394.0,115.82,22716.5,2771,89931,45117850
山东省,25.82,63496,132382,232.74,63496.0,60928,231585,17.3,11608192,232.74,26349273,14184975.0,17.3,236515.0,819.95,66648.9,2588,93662,152465038
河南省,27.99,23857,82318,155.67,23857.0,27603,154381,14.0,4481123,155.67,24293502,5289250.0,14.0,128054.0,149.28,49935.9,2653,83301,76882017
湖北省,21.46,32421,64106,268.49,32421.0,28003,124535,15.8,5854098,268.49,14578340,5255194.0,15.8,105041.0,1204.09,42022.0,3088,103272,88629723
湖南省,18.39,33659,48957,129.94,33659.0,26339,94503,11.2,5417313,129.94,16300603,5167217.0,11.2,102800.0,281.61,36329.7,2610,84226,76162442
广东省,28.28,328467,478082,1034.71,328467.0,241700,793819,37.8,33366963,1034.71,42684258,21072031.0,37.8,621950.0,1365.42,99945.2,2542,141024,393760563
广西壮族自治区,12.52,6846,20551,64.43,6846.0,6239,44224,7.1,1091022,64.43,12836618,891031.0,7.1,17228.0,61.41,19627.8,2602,87768,18335851
海南省,2.92,1258,3292,15.04,1258.0,576,6451,2.0,147630,15.04,3777479,113708.0,2.0,1971.0,6.94,4910.7,2305,90573,1053103
重庆市,11.39,17579,45688,68.59,17579.0,18049,72121,8.2,3094253,68.59,10216274,2992091.0,8.2,61956.0,188.35,21588.8,3081,115365,42163130
四川省,23.02,35959,87372,147.91,35959.0,26277,152987,20.4,3931381,147.91,20767987,3423923.0,20.4,77848.0,996.7,42902.1,2409,124631,35763417
贵州省,9.18,6544,19456,102.88,6544.0,5976,44508,6.7,736265,102.88,12732768,762280.0,6.7,20041.0,171.1,15353.2,2254,87726,7469914
云南省,10.49,6466,20340,54.94,6466.0,6190,36515,9.9,965427,54.94,14543783,1070172.0,9.9,24048.0,89.49,20880.6,2166,94132,9288303
西藏自治区,0.61,82,755,8.12,82.0,39,1469,0.8,4547,8.12,2562958,8625.0,0.8,326.0,0.04,1548.4,1616,126104,181067
陕西省,16.74,16892,41479,87.22,16892.0,10182,76512,17.0,2350624,87.22,11375081,2165554.0,17.0,39315.0,1125.29,23941.9,3562,94877,20333648
甘肃省,7.28,3208,13958,25.74,3208.0,3342,27882,6.5,456615,25.74,7404892,476151.0,6.5,8026.0,180.88,8104.1,2258,94087,2751331
青海省,1.08,559,2668,12.8,559.0,859,4439,2.2,86575,12.8,2640309,67716.0,2.2,1157.0,79.36,2748.0,1426,98698,1232662
宁夏回族自治区,2.12,2282,5658,34.02,2282.0,2205,9860,1.3,234314,34.02,2346978,369910.0,1.3,7060.0,12.11,3510.2,2379,91621,4826467
新疆维吾尔自治区,5.27,3252,9658,42.25,3252.0,3568,14647,6.5,412821,42.25,9522617,448779.0,6.5,5806.0,3.92,12809.4,1954,89605,4328589
