地区,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue
北京市,14.0,77167,202722,488.7,77167.0,32594,307175,62.4,6503315,488.7,,3489973.0,62.4,53459.0,7947.51,41610.9,5397,230803,56037315
天津市,9.15,28517,71545,62.16,28517.0,18488,84335,11.1,3173750,62.16,,2845710.0,11.1,51110.0,1650.87,16311.3,5428,199095,48684233
河北省,22.91,38203,115314,118.13,38203.0,33789,137437,14.3,8594266,118.13,,6358675.0,14.3,111333.0,1003.83,42370.4,3070,112680,94746340
山西省,12.49,12861,33068,61.01,12861.0,9827,40421,7.5,1934732,61.01,,2023083.0,7.5,40034.0,161.43,25642.6,3388,94391,35548442
内蒙古自治区,6.44,7911,24640,42.99,7911.0,9065,32921,5.6,1755523,42.99,,1708541.0,5.6,24931.0,51.3,23158.6,2493,103090,31474555
辽宁省,18.1,38171,77434,74.35,38171.0,21581,97292,10.1,4303272,74.35,,3756732.0,10.1,67503.0,971.35,28975.1,3931,119735,51025506
吉林省,12.95,8925,29534,22.38,8925.0,12612,42522,6.3,1829608,22.38,,926041.0,6.3,15297.0,36.95,13070.2,4989,107119,21770234
黑龙江省,14.17,10591,36551,46.47,10591.0,6551,49027,5.7,1352541,46.47,,979976.0,5.7,18483.0,460.18,15901.0,3734,104121,13954159
上海市,10.04,81347,178323,386.25,81347.0,42835,224409,38.4,11394201,386.25,,7659941.0,38.4,100972.0,3870.73,44652.8,3756,262216,107853308
江苏省,30.01,299124,560127,678.32,299124.0,218368,662509,28.1,38132096,678.32,,29936774.0,28.1,655930.0,2986.78,122875.6,3726,166161,511183110
浙江省,16.76,146012,443985,680.89,146012.0,171872,513830,22.7,27110707,680.89,,17680564.0,22.7,519168.0,2435.07,77715.4,2763,184462,412818209
安徽省,18.19,91651,156584,507.56,91651.0,81620,221063,11.7,10408238,507.56,,8206500.0,11.7,180814.0,2875.45,45045.0,3283,132305,175804744
福建省,13.74,55076,141536,153.0,55076.0,57792,163032,8.0,9211097,153.0,,8485871.0,8.0,193782.0,259.52,53109.9,3277,148080,77576517
江西省,17.27,24847,75830,228.43,24847.0,32595,91815,7.4,6090169,228.43,,4396905.0,7.4,101018.0,733.88,32074.7,4423,111457,116447505
山东省,28.01,130077,342290,313.26,130077.0,113621,408136,23.1,20292881,313.26,,17287025.0,23.1,391781.0,3231.83,87435.1,3663,127958,378471673
河南省,31.52,45993,135990,409.2,45993.0,47069,169106,18.0,6671623,409.2,,8455419.0,18.0,175486.0,1020.75,61345.1,3652,93284,106560217
湖北省,23.71,81317,160849,376.55,81317.0,59771,202118,17.5,10491710,376.55,,7931580.0,17.5,168695.0,3010.0,53734.9,4110,146623,148093045
湖南省,22.48,58360,92916,279.65,58360.0,43973,114087,12.9,10651767,279.65,,8588734.0,12.9,174121.0,2542.89,48670.4,3738,115976,137717233
广东省,31.09,572589,837276,983.78,572589.0,354470,993480,52.4,51594669,983.78,,32177548.0,52.4,772585.0,3967.48,129118.6,3129,175554,480751067
广西壮族自治区,14.62,12721,44691,104.12,12721.0,11637,56283,9.1,2227761,104.12,,1505736.0,9.1,37341.0,226.99,26300.9,3651,111105,28604514
海南省,3.08,2873,13148,69.16,2873.0,1567,17273,3.2,471074,69.16,,149370.0,3.2,3961.0,31.55,6818.2,2999,129826,3723463
重庆市,12.27,27681,66467,98.89,27681.0,26245,86751,8.4,5440210,98.89,,4793346.0,8.4,83623.0,559.47,29129.0,3838,147217,67957239
四川省,26.21,57722,135507,229.12,57722.0,41462,165499,24.5,6200605,229.12,,5300775.0,24.5,117859.0,1643.53,56749.8,3127,143430,68318949
贵州省,8.99,10342,29382,88.86,10342.0,9294,40555,5.3,1181164,88.86,,1317509.0,5.3,29129.0,390.72,20164.6,2608,119281,13598616
云南省,12.36,14054,39497,58.97,14054.0,11139,52999,9.3,1562594,58.97,,1986681.0,9.3,27950.0,218.95,28954.2,3097,122950,16313423
西藏自治区,0.7,314,2127,8.31,314.0,97,3135,1.1,12625,8.31,,17043.0,1.1,173.0,6.21,2132.6,1666,154056,84198
陕西省,18.14,27942,79375,109.78,27942.0,19071,108096,13.4,3767599,109.78,,3544104.0,13.4,60713.0,3048.73,32772.7,4409,139832,43640760
甘肃省,7.55,5733,22490,47.69,5733.0,5979,32512,7.9,686626,47.69,,720007.0,7.9,14487.0,335.84,11201.6,3215,117070,11219647
青海省,1.23,1740,5276,9.45,1740.0,1423,7590,1.9,213279,9.45,,149214.0,1.9,1878.0,16.03,3610.1,1738,123405,3751761
宁夏回族自治区,2.53,4012,12452,25.56,4012.0,4725,16233,1.6,783017,25.56,,597053.0,1.6,10804.0,34.05,5069.6,3271,129034,9244972
新疆维吾尔自治区,7.22,7225,20528,53.53,7225.0,6164,25795,6.8,1356929,53.53,,641190.0,6.8,10248.0,31.18,17741.3,2773,119490,6854785
