地区,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue
北京市,12.53,18721,74661,282.71,18721.0,19916,138111,59.8,2971203,282.71,10937374,2335010.0,59.8,57761.0,3137.19,22926.0,5429,124123,42470008.0
天津市,8.11,12263,26351,109.0,12263.0,16832,63422,10.7,2559440,109.0,6326265,3228057.0,10.7,79014.0,388.56,10640.6,4283,113548,56651106.0
河北省,16.44,4999,20132,51.32,4999.0,9929,30000,14.5,2334622,51.32,10861672,2606711.0,14.5,75142.0,29.22,25208.9,2098,63937,33340326.0
山西省,11.3,3505,8371,54.26,3505.0,4723,15687,7.3,1004459,54.26,7036233,1247027.0,7.3,35775.0,48.46,12094.7,2519,51919,9246772.0
内蒙古自治区,5.85,1660,4031,32.87,1660.0,2269,6359,6.2,688680,32.87,6393778,1080287.0,6.2,27068.0,13.94,12158.2,2156,60716,5573230.0
辽宁省,18.05,9055,19525,108.82,9055.0,12098,37860,16.9,3173187,108.82,8700533,3242303.0,16.9,63374.0,217.46,20025.7,2933,62443,40369623.0
吉林省,11.42,1884,6696,36.45,1884.0,2370,11933,7.9,783328,36.45,5353180,789431.0,7.9,24395.0,28.58,9966.5,3168,53062,16599926.0
黑龙江省,12.5,3052,15412,39.46,3052.0,4267,31856,11.5,844603,39.46,6278812,955820.0,11.5,37509.0,120.28,12170.8,2555,62073,5272813.0
上海市,8.84,27540,50488,262.29,27540.0,26848,81664,22.5,5875497,262.29,9892212,4492192.0,22.5,93868.0,592.45,25269.8,3348,152258,84469638.0
江苏省,25.06,73252,200032,327.1,73252.0,115616,421907,21.5,17649058,327.1,20800931,13765378.0,21.5,422865.0,543.16,64830.5,2858,81571,235409275.0
浙江省,14.85,28235,188544,207.99,28235.0,77135,261435,16.1,8960543,207.99,16079755,7681473.0,16.1,290339.0,87.25,40023.5,2408,90368,165078596.0
安徽省,15.23,21667,48380,129.59,21667.0,40244,99160,9.6,3685185,129.59,10457811,2847303.0,9.6,95287.0,169.83,22519.7,2245,63084,52808808.0
福建省,12.06,9176,37857,67.4,9176.0,22078,58075,8.5,2846972,67.4,8928771,3153831.0,8.5,110892.0,39.19,24942.1,2513,64519,35117053.0
江西省,12.68,3383,13831,58.37,3383.0,6825,25594,5.5,1291820,58.37,8930127,1284642.0,5.5,28803.0,50.76,15667.8,2527,55957,17563827.0
山东省,23.38,26122,72818,147.06,26122.0,44466,158619,18.4,11603104,147.06,18847752,11755482.0,18.4,230800.0,249.29,50774.8,2421,63176,145558220.0
河南省,23.55,8497,33366,81.25,8497.0,16505,62434,16.4,2971713,81.25,16385611,3372310.0,16.4,134256.0,40.79,34574.8,2203,53509,51689500.0
湖北省,20.38,12444,28290,134.46,12444.0,16839,59050,15.2,3646332,134.46,9874547,3629506.0,15.2,91456.0,580.68,28242.1,3121,68102,52745891.0
湖南省,16.54,14415,26637,59.38,14415.0,17919,44194,12.9,3151100,59.38,11285463,3100446.0,12.9,77428.0,97.93,25881.3,2160,49931,63103689.0
广东省,26.15,126936,179953,274.33,126936.0,114447,278358,31.9,16233271,274.33,27356552,13752869.0,31.9,424872.0,413.25,68173.0,2356,96537,203133184.0
广西壮族自治区,9.4,2670,9664,59.93,2670.0,4840,32298,9.8,850464,59.93,8586224,848808.0,9.8,22793.0,11.58,13587.8,2052,52236,13484220.0
海南省,2.6,1217,1597,13.53,1217.0,706,2416,2.2,116939,13.53,2413904,111010.0,2.2,3484.0,0.65,3449.0,2317,51248,1482605.0
重庆市,10.61,6272,24312,38.16,6272.0,12908,55298,7.7,1863801,38.16,6979973,1664720.0,7.7,43797.0,156.2,14623.8,3017,83498,36107819.0
四川省,18.5,15893,47120,81.76,15893.0,19661,91167,21.1,2347013,81.76,14508458,1960112.0,21.1,62145.0,199.05,28891.3,2244,80634,27112961.0
贵州省,6.57,3146,10107,44.34,3146.0,4051,22467,7.7,383864,44.34,7700061,410132.0,7.7,15659.0,20.04,9173.1,1690,57290,4083736.0
云南省,9.6,2865,8124,43.15,2865.0,3137,13343,10.1,605668,43.15,9199396,516572.0,10.1,12980.0,47.92,14041.7,1731,53229,5182591.0
西藏自治区,0.56,44,146,4.42,44.0,18,248,1.1,1752,4.42,1529504,2943.0,1.1,130.0,,939.7,1676,64000,
陕西省,16.84,6675,22820,44.86,6675.0,7354,56235,17.8,1710125,44.86,9101672,1606946.0,17.8,50753.0,640.02,17402.5,3652,63478,11267648.0
甘肃省,7.28,1265,5097,21.16,1265.0,2558,12020,7.0,480268,21.16,5181631,464410.0,7.0,14380.0,114.52,6518.4,2219,58166,7193529.0
青海省,0.87,246,619,10.39,246.0,384,1534,2.3,99766,10.39,1976886,92528.0,2.3,2068.0,29.1,1847.7,1220,61650,85659.0
宁夏回族自治区,1.9,675,1424,11.66,675.0,1160,3532,1.4,176515,11.66,1697964,186518.0,1.4,5799.0,3.18,2473.9,2255,63195,1912824.0
新疆维吾尔自治区,3.79,1111,5238,40.34,1111.0,2458,10210,6.6,321291,40.34,6349792,357812.0,6.6,6688.0,2.82,9264.5,1749,65981,4837892.0
