地区,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue
北京市,12.53,16402,62671,234.67,16402.0,19210,123336,59.7,2931908,234.67,9998366,2130618.0,59.7,58036.0,2851.72,21134.6,5469,113206,36727656
天津市,8.19,10191,24856,92.81,10191.0,16302,60915,10.7,2459585,92.81,5699615,3000377.0,10.7,68175.0,276.16,9945.4,4346,102610,55696886
河北省,16.08,4049,18186,49.76,4049.0,9171,27619,14.0,2025041,49.76,10298143,2327418.0,14.0,65049.0,31.56,24259.6,2108,61114,29160256
山西省,11.0,3008,8565,62.06,3008.0,5083,18859,7.0,991958,62.06,6918247,1237698.0,7.0,34024.0,52.77,11987.2,2474,50793,10272735
内蒙古自治区,5.84,1444,3836,31.64,1444.0,2062,6388,6.1,619217,31.64,6121559,1004406.0,6.1,26990.0,38.74,11392.4,2137,56780,6285040
辽宁省,17.51,6923,21656,118.99,6923.0,11628,45996,16.9,3360539,118.99,9302062,3331303.0,16.9,59090.0,173.38,19208.8,2903,59624,40931774
吉林省,11.57,2985,6219,37.22,2985.0,2520,10751,8.0,740849,37.22,5480347,698136.0,8.0,23709.0,34.72,9427.9,3033,49805,7031878
黑龙江省,12.53,2342,19819,38.61,2342.0,4282,32264,11.2,782854,38.61,6006258,950335.0,11.2,37296.0,101.77,11849.1,2529,60631,5825023
上海市,9.02,20140,48680,257.66,20140.0,25738,86450,20.4,5282586,257.66,9069715,4047800.0,20.4,92136.0,531.68,23204.1,3421,141766,76883835
江苏省,24.45,52718,239645,302.59,52718.0,93518,504500,19.2,16693195,302.59,19862835,12395745.0,19.2,393942.0,527.5,59349.4,2814,77708,197142112
浙江省,14.75,22578,202350,191.87,22578.0,77067,294014,16.0,8216556,191.87,14490439,6843562.0,16.0,263507.0,81.5,37334.6,2363,82352,148820993
安徽省,14.9,13582,48849,109.67,13582.0,32909,93353,8.3,3244687,109.67,10413043,2477246.0,8.3,86000.0,130.83,20584.0,2203,60816,43790809
福建省,12.16,7119,37511,60.62,7119.0,18896,53701,7.7,2656091,60.62,8228012,2791966.0,7.7,100200.0,44.69,22503.8,2435,63208,34400997
江西省,12.27,2333,9970,46.32,2333.0,4893,16938,5.7,977849,46.32,8284996,1106443.0,5.7,29519.0,43.06,14300.2,2381,47738,16829309
山东省,23.75,18340,76976,149.14,18340.0,40030,155170,16.9,10206343,149.14,17796161,10528097.0,16.9,227403.0,179.4,47344.3,2304,56233,142841782
河南省,23.59,6470,29482,80.0,6470.0,14400,55920,14.8,2660106,80.0,15577127,2953410.0,14.8,125091.0,40.24,31632.5,2114,47717,47914474
湖北省,21.52,8745,28760,77.21,8745.0,16321,50816,15.1,3317175,77.21,8972278,3117987.0,15.1,85826.0,397.62,25378.0,3144,61121,46544784
湖南省,16.39,10512,24392,55.46,10512.0,17424,41336,12.4,2959845,55.46,10784551,2703987.0,12.4,73558.0,77.21,23545.2,2106,47101,57246324
广东省,25.17,97052,170430,344.94,97052.0,96646,264265,29.5,14065712,344.94,24775503,12374791.0,29.5,426330.0,529.39,62503.4,2199,90557,180137410
广西壮族自治区,8.84,1889,7884,54.36,1889.0,4468,23251,9.4,849395,54.36,7794191,817063.0,9.4,20700.0,7.34,12448.4,1939,48101,15866038
海南省,2.57,683,1331,13.83,683.0,748,2359,2.0,114916,13.83,2222868,93567.0,2.0,2882.0,3.87,3115.9,2253,46333,1601202
重庆市,10.52,4792,24828,38.65,4792.0,12221,49036,6.4,1438649,38.65,6565622,1388199.0,6.4,36605.0,90.28,13027.6,2894,78204,26961130
四川省,18.28,9043,46171,69.51,9043.0,15713,82453,19.9,2135771,69.51,13805525,1688902.0,19.9,58148.0,148.58,26518.0,2140,76610,24758761
贵州省,6.68,1985,7915,34.27,1985.0,3446,17405,6.5,403004,34.27,6799795,342541.0,6.5,16049.0,18.4,7973.1,1535,45749,3683200
云南省,9.92,2280,6804,42.59,2280.0,2793,11512,9.2,496845,42.59,9006912,454278.0,9.2,11811.0,42.0,12825.5,1662,48879,4433810
西藏自治区,0.57,32,121,4.17,32.0,9,203,1.1,1177,4.17,1206744,4617.0,1.1,81.0,,828.2,1528,60332,23454
陕西省,17.18,5449,20836,38.02,5449.0,7258,57287,16.7,1799803,38.02,8926920,1401480.0,16.7,45809.0,533.28,15905.4,3612,65546,10154791
甘肃省,7.16,1028,4737,19.76,1028.0,2440,10976,6.9,403460,19.76,4811034,400743.0,6.9,12472.0,99.99,6014.5,2193,49957,6185275
青海省,0.88,205,502,8.39,205.0,334,1099,2.3,87949,8.39,1569408,89540.0,2.3,2039.0,26.89,1713.3,1162,59097,125430
宁夏回族自治区,1.82,387,1211,10.69,387.0,1132,3230,1.4,149924,10.69,1578935,167494.0,1.4,4817.0,1.43,2327.7,2195,57000,2796416
新疆维吾尔自治区,3.79,695,4998,39.85,695.0,2256,8224,6.5,394450,39.85,5989856,314257.0,6.5,6668.0,3.0,8392.6,1681,60859,3533318
