地区,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue
北京市,12.82,34497,106948,361.76,34497.0,19653,185928,71.2,3454456,361.76,12512746,2690851.0,71.2,52719.0,4486.89,29883.0,5300,150611,41192831
天津市,8.57,22346,41675,115.99,22346.0,15770,86996,11.9,2060101,115.99,5850624,2411418.0,11.9,57881.0,551.44,12450.6,4072,137969,40949317
河北省,18.91,14750,35348,69.08,14750.0,13855,61288,14.1,3422205,69.08,15938479,3509684.0,14.1,79135.0,88.92,30640.8,2328,81947,46623294
山西省,12.11,6567,11311,50.25,6567.0,4398,20697,7.1,895493,50.25,8533662,1122323.0,7.1,31757.0,94.15,14484.3,2401,67918,15434765
内蒙古自治区,6.24,3837,6271,33.67,3837.0,3796,11701,6.0,672557,33.67,7601337,1082640.0,6.0,23243.0,19.61,14898.1,1969,71086,11244704
辽宁省,16.63,19028,26495,57.38,19028.0,11206,49871,12.1,3058148,57.38,9651893,2749477.0,12.1,49463.0,385.83,21693.0,2859,74469,36962037
吉林省,11.83,3518,11090,46.84,3518.0,2894,20450,7.7,1171236,46.84,6586685,749958.0,7.7,21056.0,219.92,10922.0,3038,66857,27746957
黑龙江省,13.0,5760,18221,46.91,5760.0,3786,30958,10.7,669389,46.91,7545432,825854.0,10.7,24046.0,146.71,12313.0,2403,73978,6824812
上海市,9.51,43416,72806,389.9,43416.0,27581,131740,24.6,6787046,389.9,12104556,5399953.0,24.6,88967.0,810.62,32925.0,3498,176383,100681518
江苏省,26.74,140346,227187,428.01,140346.0,124980,514402,22.0,21506492,428.01,25960645,18338832.0,22.0,455468.0,778.42,85869.8,3045,112285,285790192
浙江省,14.62,49158,213805,303.5,49158.0,85639,377115,19.0,11074026,303.5,21327866,10301447.0,19.0,333646.0,324.73,52403.1,2345,120521,211501500
安徽省,16.04,49810,58213,260.41,49810.0,52916,175872,8.9,5117102,260.41,13751567,4361175.0,8.9,103598.0,249.57,29676.2,2250,83571,88430765
福建省,11.9,24222,68304,99.44,24222.0,31433,128079,7.8,4234896,99.44,11390975,4487934.0,7.8,105533.0,75.46,33842.4,2352,91712,44766789
江西省,13.49,10806,33029,120.09,10806.0,19383,70591,6.2,2949584,120.09,11717849,2216865.0,6.2,45082.0,96.21,20210.8,2676,80120,38571746
山东省,26.29,56076,100522,195.77,56076.0,55881,204859,18.3,13834842,195.77,23946021,15636785.0,18.3,239170.0,511.64,63012.1,2519,85976,181263978
河南省,25.8,19457,55407,137.94,19457.0,22367,119240,17.1,3982301,137.94,21546749,4722542.0,17.1,123619.0,76.85,44824.9,2455,68353,70958863
湖北省,21.3,25568,46369,234.27,25568.0,22244,110234,15.4,4640613,234.27,13821834,4689377.0,15.4,94241.0,1033.08,37235.0,3000,93369,75234883
湖南省,17.83,26697,37916,91.42,26697.0,21319,77934,11.4,4857534,91.42,15165690,4617716.0,11.4,94228.0,203.19,33828.1,2419,71425,85857213
广东省,27.66,289238,332652,823.89,289238.0,199293,627834,33.9,28286496,823.89,38610331,18650313.0,33.9,457342.0,937.08,91648.7,2454,125634,348630305
广西壮族自治区,11.79,6557,15270,60.04,6557.0,5428,56988,8.3,1120030,60.04,11891781,935996.0,8.3,16163.0,39.42,17790.7,2383,79025,22492207
海南省,2.8,1656,2133,12.47,1656.0,443,4564,2.0,108956,12.47,3390271,74815.0,2.0,1971.0,4.11,4497.5,2261,78517,1306518
重庆市,11.29,12472,34780,59.31,12472.0,17269,64648,8.2,3252278,59.31,9483526,2799986.0,8.2,56416.0,51.36,20066.3,3084,102239,53227016
四川省,22.51,32598,64006,106.57,32598.0,26687,167484,21.9,3107379,106.57,19274514,3010846.0,21.9,71968.0,405.83,37905.1,2339,101514,36830600
贵州省,8.67,6805,12559,87.72,6805.0,5344,34610,7.2,577811,87.72,12488005,648576.0,7.2,18786.0,80.74,13605.4,2129,79826,6055568
云南省,10.32,6510,14230,53.42,6510.0,5389,28695,10.4,1026693,53.42,13292088,885588.0,10.4,21393.0,84.76,18486.0,1999,84202,8086166
西藏自治区,0.58,96,420,8.49,96.0,20,1097,1.0,3270,8.49,2387658,3186.0,1.0,202.0,0.04,1349.0,1678,116031,94173
陕西省,16.46,14806,34554,79.34,14806.0,9232,98935,18.7,2042467,79.34,10545862,1963697.0,18.7,44672.0,920.94,21473.5,3582,79714,17148934
甘肃省,7.16,2796,9672,25.83,2796.0,3102,24448,7.1,369544,25.83,7087547,466912.0,7.1,10096.0,162.96,7336.7,2217,85197,3461052
青海省,0.99,399,1580,11.94,399.0,729,3181,2.3,87570,11.94,2343469,83276.0,2.3,1799.0,67.72,2465.1,1391,87248,1027045
宁夏回族自治区,2.04,1633,4244,25.55,1633.0,1978,8575,1.5,182203,25.55,2288400,291101.0,1.5,6392.0,6.67,3200.3,2278,78182,3352269
新疆维吾尔自治区,4.83,2565,8094,42.81,2565.0,3022,14260,6.3,425657,42.81,8462090,400468.0,6.3,6191.0,5.76,11159.9,1863,85516,3938875
