地区,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue
北京市,12.77,28290,100578,285.78,28290.0,20065,189129,69.0,3226374,285.78,11934724,2548433.0,69.0,51143.0,3940.98,27041.2,5028,139990,40858562
天津市,8.51,22021,39734,125.18,22021.0,17170,106514,11.5,2856231,125.18,5365129,3499551.0,11.5,78336.0,552.64,11477.2,4058,128067,56428282
河北省,18.21,13074,31826,73.18,13074.0,13189,54838,16.4,2626889,73.18,14203834,3086608.0,16.4,82971.0,59.0,28474.1,2191,74020,39231360
山西省,11.98,5350,10062,34.56,5350.0,3786,20031,7.2,689735,34.56,7942196,976283.0,7.2,29450.0,42.56,11946.4,2439,60446,10850063
内蒙古自治区,6.26,3103,5846,32.38,3103.0,2970,10672,5.9,727898,32.38,7624806,1279853.0,5.9,30126.0,12.05,13789.3,1937,65192,7796103
辽宁省,16.6,14188,25104,61.61,14188.0,9709,52603,13.8,2391496,61.61,9206907,2420637.0,13.8,49254.0,323.22,20392.5,2845,70180,33872375
吉林省,11.88,3395,9995,41.01,3395.0,2655,18922,7.6,1243953,41.01,6439837,908602.0,7.6,23469.0,116.42,10427.0,3048,62900,26276146
黑龙江省,12.61,4716,18046,44.92,4716.0,4127,35293,11.1,696173,44.92,7336607,884925.0,11.1,32219.0,125.81,11895.0,2427,68514,5026218
上海市,9.31,37513,64230,341.71,37513.0,24228,119937,23.2,6227654,341.71,11218946,4900778.0,23.2,98671.0,780.99,29887.0,3327,163297,90334750
江苏省,26.88,117912,231033,381.02,117912.0,131284,512429,21.8,19090345,381.02,24020855,16575418.0,21.8,451885.0,635.64,77350.9,2937,100375,280846698
浙江省,14.54,38661,221456,269.04,38661.0,78729,393147,18.6,10041634,269.04,18908104,9357877.0,18.6,321845.0,198.37,47254.0,2355,99537,213968302
安徽省,16.05,41791,60983,259.5,41791.0,49791,172552,9.1,4432081,259.5,12357931,3709224.0,9.1,99451.0,217.37,26307.7,2259,73035,73210508
福建省,11.8,18514,67142,80.28,18514.0,28208,130376,8.7,3516871,80.28,10473975,3882632.0,8.7,102250.0,43.22,29609.4,2438,79317,40526601
江西省,13.51,6993,31472,83.12,6993.0,12594,60494,6.2,2227922,83.12,10468837,1797561.0,6.2,34924.0,79.01,18388.6,2698,74844,31368046
山东省,26.27,45917,98093,167.0,45917.0,45921,212911,17.8,12521655,167.0,22422970,14150035.0,17.8,241761.0,395.95,58762.5,2620,78755,163134209
河南省,25.62,15863,49145,96.1,15863.0,17457,94669,17.8,3370816,96.1,18902582,4096962.0,17.8,132731.0,58.71,40249.3,2352,59171,61154137
湖北省,21.28,23972,41822,190.11,23972.0,19574,95157,15.8,4076507,190.11,13009264,4459622.0,15.8,96340.0,903.84,33353.0,2950,81015,67132019
湖南省,17.32,22315,34050,71.44,22315.0,18249,67779,11.7,3585267,71.44,13781959,3929647.0,11.7,86440.0,105.63,30853.5,2251,62232,80984709
广东省,27.51,236918,259032,742.97,236918.0,145448,505667,32.3,23097271,742.97,33675376,16762749.0,32.3,423730.0,758.17,82163.2,2431,111233,286714109
广西壮族自治区,11.48,6010,14858,45.2,6010.0,5555,59239,8.9,905498,45.2,10914241,827248.0,8.9,19402.0,33.99,16116.6,2279,68957,19808824
海南省,2.8,1657,1939,15.69,1657.0,508,3658,2.1,117659,15.69,3068767,79819.0,2.1,2688.0,3.44,4090.2,2258,68888,1265915
重庆市,11.16,8585,42738,51.62,8585.0,17511,59518,8.1,3025777,51.62,8863208,2374859.0,8.1,47392.0,147.19,18023.0,3059,92787,50143454
四川省,21.82,24065,62445,101.09,24065.0,21685,142522,21.1,2523694,101.09,17620946,2572607.0,21.1,60146.0,299.3,33138.5,2314,91309,30447284
贵州省,8.15,5411,10425,69.3,5411.0,4341,25315,7.3,550466,69.3,10335342,556853.0,7.3,15774.0,20.44,11792.4,2005,72107,5752002
云南省,10.06,5880,12032,46.86,5880.0,4942,23709,10.1,884333,46.86,11886446,741847.0,10.1,17166.0,58.26,16369.0,1889,73883,6284487
西藏自治区,0.6,115,245,4.81,115.0,44,712,1.2,3630,4.81,1857714,4003.0,1.2,208.0,,1173.0,1765,103906,78690
陕西省,16.1,11520,48455,62.01,11520.0,8142,69611,18.2,1898166,62.01,10049114,1844216.0,18.2,45362.0,802.79,19045.8,3540,72786,12364855
甘肃省,7.23,2427,7975,26.23,2427.0,2600,20276,6.9,397701,26.23,6706137,509228.0,6.9,12610.0,150.66,6907.9,2189,75114,3031098
青海省,0.92,393,1357,10.9,393.0,612,3284,2.2,62146,10.9,2162973,77940.0,2.2,1750.0,56.92,2258.2,1319,78808,379404
宁夏回族自治区,1.95,1248,2677,18.26,1248.0,1757,6149,1.6,202032,18.26,2072544,239624.0,1.6,5686.0,4.05,2781.4,2225,76339,2026821
新疆维吾尔自治区,4.23,2030,7116,44.98,2030.0,2546,14105,6.4,444784,44.98,7823914,390946.0,6.4,7310.0,4.28,9630.8,1780,79944,4745506
