地区,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue
北京市,12.27,14051,50511,199.94,14051.0,20189,92305,54.0,2527103,199.94,,1973442.0,54.0,53510.0,2458.5,19024.7,5534,106604,33176311
天津市,8.13,7341,19782,76.45,7341.0,13173,41009,8.3,2192138,76.45,,2558685.0,8.3,60681.0,232.33,9043.0,4358,102653,44601011
河北省,15.61,3358,15315,44.74,3358.0,7841,23241,12.5,1798885,44.74,,1980850.0,12.5,55979.0,37.82,23077.5,2063,58892,24576633
山西省,9.81,2345,7196,33.32,2345.0,3765,16786,5.9,1020706,33.32,,1069590.0,5.9,31542.0,30.61,11683.1,2351,42554,9283912
内蒙古自治区,5.62,922,3084,27.61,922.0,1650,4732,4.9,529251,27.61,,858477.0,4.9,21509.0,106.1,10470.1,2042,48062,5814946
辽宁省,16.82,5054,21223,101.24,5054.0,9958,41152,15.8,2886302,101.24,,2894569.0,15.8,52064.0,230.66,17848.6,2811,55447,31936021
吉林省,11.55,2779,5930,24.96,2779.0,2195,9171,7.6,776269,24.96,,604326.0,7.6,24365.0,25.12,8678.0,2889,49835,21577965
黑龙江省,12.79,2055,20268,37.64,2055.0,3690,30610,11.9,779353,37.64,,906170.0,11.9,36256.0,100.45,11015.8,2441,57107,5655068
上海市,8.96,16805,51508,245.43,16805.0,24873,82682,12.2,4840036,245.43,,3715075.0,12.2,82355.0,518.75,21305.6,3481,129633,73999056
江苏省,24.03,45120,269944,257.24,45120.0,84876,472656,12.8,14945123,257.24,,10803107.0,12.8,342262.0,400.91,53701.9,2786,76548,178454188
浙江省,14.91,20553,188463,165.98,20553.0,68003,249373,17.5,7145347,165.98,,5886071.0,17.5,228618.0,81.31,34382.4,2288,67761,112839734
安徽省,14.44,9215,43321,96.0,9215.0,26665,74888,8.2,2793021,96.0,,2089814.0,8.2,73356.0,86.16,18341.7,2101,51618,37318538
福建省,11.22,5400,30497,48.47,5400.0,14745,42773,6.5,2278341,48.47,,2381656.0,6.5,90280.0,50.09,20190.7,2301,55947,32911524
江西省,12.14,1398,7985,27.5,1398.0,3015,12458,5.4,917019,27.5,,925985.0,5.4,23877.0,39.78,12807.7,2295,39356,12871344
山东省,23.15,15104,75496,124.98,15104.0,34689,128614,12.4,8148492,124.98,,9056007.0,12.4,204398.0,140.02,42957.3,2238,53319,129131803
河南省,22.57,5133,26791,69.64,5133.0,12503,43442,13.1,2313506,69.64,,2489651.0,13.1,102846.0,39.94,28961.9,2012,45988,25762027
湖北省,21.69,7025,24475,54.39,7025.0,12592,51316,13.5,2937086,54.39,,2633099.0,13.5,77087.0,196.39,22590.9,3078,51212,36984125
湖南省,16.48,8436,23212,48.19,8436.0,16204,35709,9.5,2384102,48.19,,2290877.0,9.5,69784.0,42.24,21207.2,2087,45204,47689791
广东省,23.95,83280,153598,246.71,83280.0,87143,229514,21.3,11865618,246.71,,10778634.0,21.3,424563.0,364.94,57007.7,2082,85565,154028478
广西壮族自治区,8.23,1499,5900,42.81,1499.0,3025,13610,9.3,771269,42.81,,702225.0,9.3,20845.0,2.52,11303.6,1834,40093,12369278
海南省,2.61,388,1093,12.06,388.0,623,1824,1.7,101396,12.06,,78093.0,1.7,2767.0,0.57,2789.4,2218,41682,1344677
重庆市,11.04,3714,20364,29.84,3714.0,9784,38924,5.7,1266058,29.84,,1171045.0,5.7,31577.0,54.02,11595.4,2734,71712,24299198
四川省,18.13,6591,42218,59.4,6591.0,13443,66312,16.2,1782262,59.4,,1422310.0,16.2,50533.0,111.24,23922.4,2037,67113,20959773
贵州省,6.48,1370,6059,28.98,1370.0,2794,11296,5.4,400699,28.98,,315079.0,5.4,12135.0,9.67,6742.2,1392,39087,3832764
云南省,8.77,1644,5853,32.67,1644.0,2404,9260,7.8,396302,32.67,,384430.0,7.8,12321.0,45.48,11097.4,1566,43722,4468160
西藏自治区,0.56,71,133,5.09,71.0,18,170,1.1,1986,5.09,,5312.0,1.1,78.0,,710.2,1508,50876,21004
陕西省,18.68,4752,14908,34.94,4752.0,5467,43608,14.4,1285251,34.94,,1192770.0,14.4,36728.0,334.82,14142.4,3525,60394,8715851
甘肃省,7.16,855,3662,16.19,855.0,1713,8261,5.6,350314,16.19,,337785.0,5.6,11445.0,73.06,5393.1,2145,41814,5954233
青海省,0.85,170,527,7.18,170.0,215,844,2.8,74374,7.18,,84197.0,2.8,2020.0,19.3,1528.5,1133,60957,103773
宁夏回族自治区,1.79,300,844,9.61,300.0,914,1985,1.2,142473,9.61,,143696.0,1.2,4196.0,2.91,2131.0,2107,49144,1856287
新疆维吾尔自治区,3.61,468,3439,33.01,468.0,1776,7044,6.1,335323,33.01,,273425.0,6.1,6202.0,5.39,7411.8,1596,50555,2760241
